Narela-Gbsss (Mussadi Lal);"""Narela-Gbsss (Mussadi Lal)"",";;Narela-Gbsss (Mussadi Lal);"""Narela-Gbsss (Mussadi Lal)"","
Narela, Pocket 5 & 6-Ggss;"""Narela, Pocket 5 & 6-Ggss"",";;Narela, Pocket 5 & 6-Ggss;"""Narela, Pocket 5 & 6-Ggss"","
Narela, No.1-Skv;"""Narela, No.1-Skv"",";;Narela, No.1-Skv;"""Narela, No.1-Skv"","
Bhorgarh-G(Co-Ed)Sss;"""Bhorgarh-G(Co-Ed)Sss"",";;Bhorgarh-G(Co-Ed)Sss;"""Bhorgarh-G(Co-Ed)Sss"","
Narela, No.2-Gbsss;"""Narela, No.2-Gbsss"",";;Narela, No.2-Gbsss;"""Narela, No.2-Gbsss"","
Narela, Sect. A-6, Pocket-2- Gbsss;"""Narela, Sect. A-6, Pocket-2- Gbsss"",";;Narela, Sect. A-6, Pocket-2- Gbsss;"""Narela, Sect. A-6, Pocket-2- Gbsss"","
Bankner-Sbv;"""Bankner-Sbv"",";;Bankner-Sbv;"""Bankner-Sbv"","
Bankner-Ggsss;"""Bankner-Ggsss"",";;Bankner-Ggsss;"""Bankner-Ggsss"","
Holambi Kalan,C-Block, G Co-Edss;"""Holambi Kalan,C-Block, G Co-Edss"",";;Holambi Kalan,C-Block, G Co-Edss;"""Holambi Kalan,C-Block, G Co-Edss"","
Holambi Kalan,A-Blk G(Co-Ed)Ss;"""Holambi Kalan,A-Blk G(Co-Ed)Ss"",";;Holambi Kalan,A-Blk G(Co-Ed)Ss;"""Holambi Kalan,A-Blk G(Co-Ed)Ss"","
Holambi Kalan,Block B-G(Co-Ed)Sss;"""Holambi Kalan,Block B-G(Co-Ed)Sss"",";;Holambi Kalan,Block B-G(Co-Ed)Sss;"""Holambi Kalan,Block B-G(Co-Ed)Sss"","
Khera Khurd-Skv;"""Khera Khurd-Skv"",";;Khera Khurd-Skv;"""Khera Khurd-Skv"","
Khera  Kalan-Skv (Baba Nane Nath);"""Khera  Kalan-Skv (Baba Nane Nath)"",";;Khera  Kalan-Skv (Baba Nane Nath);"""Khera  Kalan-Skv (Baba Nane Nath)"","
Alipur-Skv;"""Alipur-Skv"",";;Alipur-Skv;"""Alipur-Skv"","
Holambi Kalan-G(Co-Ed)Sss;"""Holambi Kalan-G(Co-Ed)Sss"",";;Holambi Kalan-G(Co-Ed)Sss;"""Holambi Kalan-G(Co-Ed)Sss"","
Khera Khurd-Gbsss;"""Khera Khurd-Gbsss"",";;Khera Khurd-Gbsss;"""Khera Khurd-Gbsss"","
Alipur-Gbsss;"""Alipur-Gbsss"",";;Alipur-Gbsss;"""Alipur-Gbsss"","
Sannoth-Sv;"""Sannoth-Sv"",";;Sannoth-Sv;"""Sannoth-Sv"","
Gbsss, Holambi Kalan, Block B;"""Gbsss, Holambi Kalan, Block B"",";;Gbsss, Holambi Kalan, Block B;"""Gbsss, Holambi Kalan, Block B"","
Modren Eng School;"""Modren Eng School"",";;Modren Eng School;"""Modren Eng School"","
Singhu-G(Co-Ed)Sss;"""Singhu-G(Co-Ed)Sss"",";;Singhu-G(Co-Ed)Sss;"""Singhu-G(Co-Ed)Sss"","
Bakhtawarpur-Skv (Bms);"""Bakhtawarpur-Skv (Bms)"",";;Bakhtawarpur-Skv (Bms);"""Bakhtawarpur-Skv (Bms)"","
Palla Majra-Gbss;"""Palla Majra-Gbss"",";;Palla Majra-Gbss;"""Palla Majra-Gbss"","
Bakhtawarpur-Gbsss;"""Bakhtawarpur-Gbsss"",";;Bakhtawarpur-Gbsss;"""Bakhtawarpur-Gbsss"","
Tikri Khurd-Sv;"""Tikri Khurd-Sv"",";;Tikri Khurd-Sv;"""Tikri Khurd-Sv"","
Bhalswa Dairy G Co-Ed.Sec School;"""Bhalswa Dairy G Co-Ed.Sec School"",";;Bhalswa Dairy G Co-Ed.Sec School;"""Bhalswa Dairy G Co-Ed.Sec School"","
Jahangirpuri, Block E-Ggss;"""Jahangirpuri, Block E-Ggss"",";;Jahangirpuri, Block E-Ggss;"""Jahangirpuri, Block E-Ggss"","
Jahangirpuri,Block D-Skv;"""Jahangirpuri,Block D-Skv"",";;Jahangirpuri,Block D-Skv;"""Jahangirpuri,Block D-Skv"","
Jahangirpuri, Block E-Gbss;"""Jahangirpuri, Block E-Gbss"",";;Jahangirpuri, Block E-Gbss;"""Jahangirpuri, Block E-Gbss"","
Jahangirpuri, Block K-Gbsss;"""Jahangirpuri, Block K-Gbsss"",";;Jahangirpuri, Block K-Gbsss;"""Jahangirpuri, Block K-Gbsss"","
Jahangirpuri, Block D-Gbsss;"""Jahangirpuri, Block D-Gbsss"",";;Jahangirpuri, Block D-Gbsss;"""Jahangirpuri, Block D-Gbsss"","
Qadipur-Gbss;"""Qadipur-Gbss"",";;Qadipur-Gbss;"""Qadipur-Gbss"","
Qadipur-Ggss;"""Qadipur-Ggss"",";;Qadipur-Ggss;"""Qadipur-Ggss"","
Mukhmail Pur-G(Co-Ed)Sss;"""Mukhmail Pur-G(Co-Ed)Sss"",";;Mukhmail Pur-G(Co-Ed)Sss;"""Mukhmail Pur-G(Co-Ed)Sss"","
Dhakka-Ggms;"""Dhakka-Ggms"",";;Dhakka-Ggms;"""Dhakka-Ggms"","
Dhakka-Gbms;"""Dhakka-Gbms"",";;Dhakka-Gbms;"""Dhakka-Gbms"","
Dr.Mukharjee Nagar-Sv;"""Dr.Mukharjee Nagar-Sv"",";;Dr.Mukharjee Nagar-Sv;"""Dr.Mukharjee Nagar-Sv"","
Vijay Nagar-Sv;"""Vijay Nagar-Sv"",";;Vijay Nagar-Sv;"""Vijay Nagar-Sv"","
Guru Teg Bahadur Nagar-Skv;"""Guru Teg Bahadur Nagar-Skv"",";;Guru Teg Bahadur Nagar-Skv;"""Guru Teg Bahadur Nagar-Skv"","
New Generation Comp Pu College;"""New Generation Comp Pu College"",";;New Generation Comp Pu College;"""New Generation Comp Pu College"","
Dhakka-Skv;"""Dhakka-Skv"",";;Dhakka-Skv;"""Dhakka-Skv"","
Dhakka-Gbsss;"""Dhakka-Gbsss"",";;Dhakka-Gbsss;"""Dhakka-Gbsss"","
Guru Teg Bahadur Nagar-Gbsss;"""Guru Teg Bahadur Nagar-Gbsss"",";;Guru Teg Bahadur Nagar-Gbsss;"""Guru Teg Bahadur Nagar-Gbsss"","
Rama Devi Public School;"""Rama Devi Public School"",";;Rama Devi Public School;"""Rama Devi Public School"","
Gopal Park-G(Co-Ed)Sss;"""Gopal Park-G(Co-Ed)Sss"",";;Gopal Park-G(Co-Ed)Sss;"""Gopal Park-G(Co-Ed)Sss"","
Azadpur Village-Gbss;"""Azadpur Village-Gbss"",";;Azadpur Village-Gbss;"""Azadpur Village-Gbss"","
Azadpur Village-Ggss;"""Azadpur Village-Ggss"",";;Azadpur Village-Ggss;"""Azadpur Village-Ggss"","
